iter	Passed	Remaining
0	0	75
1	1	69
2	2	66
3	2	63
4	3	66
5	4	63
6	4	61
7	5	60
8	6	60
9	6	59
10	7	58
11	8	58
12	8	57
13	9	57
14	10	56
15	10	56
16	11	55
17	11	54
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	19	46
29	19	46
30	20	45
31	21	44
32	21	43
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
