iter	Passed	Remaining
0	57	57202
1	58	29023
2	58	19557
3	59	14791
4	60	11950
5	60	10058
6	61	8688
7	61	7680
8	62	6900
9	63	6271
10	64	5759
11	64	5326
12	65	4965
13	66	4651
14	66	4380
15	67	4144
16	68	3940
17	68	3751
18	69	3582
19	70	3430
20	70	3299
21	71	3173
22	71	3057
23	72	2955
24	73	2865
25	74	2776
26	74	2692
27	75	2615
28	75	2543
29	76	2475
30	77	2414
31	78	2360
32	78	2309
33	79	2258
34	80	2209
35	80	2162
36	81	2118
37	81	2075
38	82	2036
39	83	2000
40	84	1965
41	84	1933
42	85	1902
43	86	1872
44	86	1842
45	87	1813
46	88	1787
47	89	1765
48	89	1741
49	90	1716
50	91	1693
51	91	1669
52	92	1647
53	92	1626
54	93	1609
55	94	1592
56	95	1573
57	95	1554
58	96	1536
59	96	1517
60	97	1501
61	98	1485
62	98	1470
63	99	1455
64	100	1442
65	101	1429
66	101	1415
67	102	1400
68	102	1388
69	103	1376
70	104	1364
71	104	1351
72	105	1340
73	106	1328
74	106	1317
75	107	1306
76	108	1295
77	108	1285
78	109	1275
79	110	1265
80	110	1255
81	111	1245
82	111	1232
83	112	1223
84	112	1214
85	113	1205
86	114	1198
87	114	1191
88	115	1183
89	116	1175
90	116	1168
91	117	1160
92	118	1153
93	118	1146
94	119	1139
95	120	1133
96	120	1126
97	121	1119
98	122	1113
99	122	1106
100	123	1099
101	124	1092
102	124	1088
103	125	1083
104	126	1076
105	126	1070
106	127	1064
107	128	1057
108	128	1052
109	129	1046
110	129	1040
111	130	1036
112	131	1032
113	132	1027
114	132	1022
115	133	1017
116	134	1012
117	134	1008
118	135	1004
119	136	1000
120	137	996
121	137	991
122	138	986
123	139	982
124	139	977
125	140	972
126	140	967
127	141	963
128	142	960
129	142	956
130	143	952
131	144	948
132	144	943
133	145	939
134	146	935
135	146	931
136	147	928
137	148	925
138	148	922
139	149	919
140	150	916
141	150	911
142	151	908
143	152	906
144	153	903
145	153	900
146	154	897
147	155	895
148	156	891
149	156	888
150	157	886
151	158	884
152	159	881
153	159	878
154	160	875
155	161	872
156	162	870
157	162	867
158	163	865
159	164	863
160	164	859
161	165	856
162	166	853
163	166	850
164	167	848
165	168	845
166	169	843
167	169	840
168	170	838
169	171	835
170	171	833
171	172	830
172	173	827
173	174	826
174	174	823
175	175	821
176	175	818
177	176	815
178	177	812
179	177	810
180	178	808
181	179	806
182	180	805
183	181	803
184	181	801
185	182	798
186	183	797
187	184	796
188	185	794
189	186	793
190	186	791
191	187	789
192	188	787
193	189	785
194	189	783
195	190	780
196	191	779
197	192	777
198	192	775
199	193	773
200	194	771
201	194	770
202	195	768
203	196	767
204	197	765
205	198	763
206	198	761
207	199	759
208	200	757
209	200	755
210	201	753
211	202	751
212	202	749
213	203	747
214	204	745
215	204	743
216	205	741
217	206	739
218	207	738
219	207	736
220	208	735
221	209	732
222	209	730
223	210	729
224	211	727
225	211	725
226	212	724
227	213	722
228	214	720
229	214	718
230	215	717
231	216	715
232	216	713
233	217	711
234	218	709
235	218	708
236	219	706
237	220	704
238	220	702
239	221	701
240	222	699
241	222	697
242	223	696
243	224	695
244	225	693
245	225	692
246	226	690
247	227	688
248	227	686
249	228	685
250	229	684
251	230	683
252	230	681
253	231	679
254	232	678
255	232	676
256	233	674
257	234	673
258	234	672
259	235	670
260	236	669
261	237	667
262	237	666
263	238	664
264	239	663
265	239	661
266	240	660
267	241	659
268	241	657
269	242	656
270	243	654
271	244	653
272	244	651
273	245	650
274	246	649
275	247	648
276	248	647
277	248	646
278	249	644
279	250	643
280	251	642
281	251	641
282	252	640
283	253	638
284	254	637
285	254	636
286	255	635
287	256	634
288	257	633
289	258	632
290	259	631
291	259	630
292	260	629
293	261	628
294	262	627
295	263	626
296	263	624
297	264	623
298	265	622
299	266	620
300	266	619
301	267	618
302	268	617
303	269	616
304	269	615
305	270	613
306	271	612
307	272	611
308	273	610
309	273	609
310	274	608
311	275	607
312	276	605
313	276	604
314	277	603
315	278	602
316	279	601
317	279	600
318	280	599
319	281	598
320	282	597
321	282	595
322	283	594
323	284	593
324	285	592
325	286	591
326	286	590
327	287	589
328	288	587
329	288	586
330	289	585
331	290	584
332	291	583
333	291	581
334	292	580
335	293	579
336	293	578
337	294	577
338	295	576
339	296	575
340	296	573
341	297	572
342	298	571
343	299	570
344	299	569
345	300	568
346	301	567
347	302	566
348	303	565
349	303	564
350	304	563
351	305	561
352	306	560
353	306	559
354	307	558
355	308	557
356	308	556
357	309	554
358	310	553
359	310	552
360	311	551
361	312	550
362	313	549
363	313	548
364	314	547
365	315	546
366	316	545
367	317	544
368	317	543
369	318	542
370	319	541
371	319	539
372	320	538
373	321	537
374	321	536
375	322	535
376	323	534
377	324	533
378	324	532
379	325	531
380	326	530
381	327	529
382	327	527
383	328	526
384	329	525
385	329	524
386	330	523
387	331	522
388	331	521
389	332	520
390	333	519
391	334	519
392	335	518
393	336	517
394	337	516
395	337	515
396	338	514
397	339	513
398	340	512
399	341	511
400	341	510
401	342	509
402	343	508
403	344	507
404	344	506
405	345	505
406	346	504
407	346	503
408	347	502
409	348	501
410	348	500
411	349	499
412	350	498
413	351	497
414	352	496
415	352	495
416	353	494
417	354	493
418	355	492
419	355	491
420	356	490
421	357	489
422	357	488
423	358	487
424	359	486
425	360	485
426	361	484
427	361	483
428	362	482
429	363	481
430	364	480
431	364	479
432	365	478
433	366	477
434	367	476
435	367	475
436	368	474
437	368	473
438	369	472
439	370	471
440	371	470
441	372	469
442	372	468
443	373	467
444	374	467
445	375	466
446	376	465
447	376	464
448	377	463
449	378	462
450	379	461
451	380	460
452	380	459
453	381	458
454	382	457
455	383	457
456	383	455
457	384	454
458	385	453
459	385	453
460	386	452
461	387	451
462	388	450
463	389	449
464	389	448
465	390	447
466	391	446
467	392	445
468	392	444
469	393	444
470	394	443
471	395	442
472	396	441
473	396	440
474	397	439
475	398	438
476	399	437
477	399	436
478	400	435
479	401	434
480	402	434
481	402	433
482	403	432
483	404	431
484	405	430
485	406	429
486	406	428
487	407	427
488	408	426
489	408	425
490	409	424
491	410	423
492	411	423
493	412	422
494	412	421
495	413	420
496	414	419
497	415	418
498	416	417
499	417	417
500	417	416
501	418	415
502	419	414
503	420	413
504	421	412
505	421	411
506	422	411
507	423	410
508	424	409
509	425	408
510	425	407
511	426	406
512	427	406
513	428	405
514	429	404
515	430	403
516	431	402
517	431	401
518	432	400
519	433	400
520	434	399
521	434	398
522	435	397
523	436	396
524	437	395
525	437	394
526	438	393
527	439	392
528	440	392
529	441	391
530	441	390
531	442	389
532	443	388
533	444	387
534	445	386
535	445	386
536	446	385
537	447	384
538	448	383
539	449	382
540	450	381
541	450	381
542	451	380
543	452	379
544	453	378
545	454	377
546	454	376
547	455	375
548	456	375
549	457	374
550	458	373
551	458	372
552	459	371
553	460	370
554	461	369
555	462	369
556	462	368
557	463	367
558	464	366
559	465	365
560	466	364
561	467	363
562	467	363
563	468	362
564	469	361
565	470	360
566	471	359
567	472	359
568	473	358
569	473	357
570	474	356
571	475	355
572	476	354
573	477	354
574	477	353
575	478	352
576	479	351
577	480	350
578	481	349
579	481	348
580	482	348
581	483	347
582	484	346
583	485	345
584	485	344
585	486	343
586	487	343
587	488	342
588	489	341
589	490	340
590	490	339
591	491	338
592	492	338
593	493	337
594	494	336
595	495	335
596	496	335
597	497	334
598	498	333
599	498	332
600	499	331
601	500	330
602	501	329
603	502	329
604	502	328
605	503	327
606	504	326
607	505	325
608	506	324
609	507	324
610	507	323
611	508	322
612	509	321
613	510	320
614	511	319
615	511	319
616	512	318
617	513	317
618	514	316
619	515	315
620	516	314
621	516	314
622	517	313
623	518	312
624	519	311
625	520	310
